Site,TimeStamp,DO_mgL
Azevedo Pond,5/3/21 4:45,5.5
Azevedo Pond,5/3/21 5:00,5.1
Azevedo Pond,5/3/21 5:15,4.7
Azevedo Pond,5/3/21 5:30,4.4
Azevedo Pond,5/3/21 5:45,4.2
Azevedo Pond,5/3/21 6:00,4.2
Azevedo Pond,5/3/21 6:15,4.1
Azevedo Pond,5/3/21 6:30,4.2
Azevedo Pond,5/3/21 6:45,4.3
Azevedo Pond,5/3/21 7:00,4.6
Azevedo Pond,5/3/21 7:15,5
Azevedo Pond,5/3/21 7:30,5.2
Azevedo Pond,5/3/21 7:45,5.9
Azevedo Pond,5/3/21 8:00,5.7
Azevedo Pond,5/3/21 8:15,6.6
Azevedo Pond,5/3/21 8:30,7.3
Azevedo Pond,5/3/21 8:45,6.8
Azevedo Pond,5/3/21 9:00,6.4
Azevedo Pond,5/3/21 9:15,4.7
Azevedo Pond,5/3/21 9:30,2.8
Azevedo Pond,5/3/21 9:45,2.4
Azevedo Pond,5/3/21 10:00,2.7
Azevedo Pond,5/3/21 10:15,2
Azevedo Pond,5/3/21 10:30,2.4
Azevedo Pond,5/3/21 10:45,2.5
Azevedo Pond,5/3/21 11:00,3.8
Azevedo Pond,5/3/21 11:15,2.7
Azevedo Pond,5/3/21 11:30,2.9
Azevedo Pond,5/3/21 11:45,2
Azevedo Pond,5/3/21 12:00,2.4
Azevedo Pond,5/3/21 12:15,2.6
Azevedo Pond,5/3/21 12:30,2.7
Azevedo Pond,5/3/21 12:45,2.5
Azevedo Pond,5/3/21 13:00,3.5
Azevedo Pond,5/3/21 13:15,2.2
Azevedo Pond,5/3/21 13:30,1.8
Azevedo Pond,5/3/21 13:45,2.4
Azevedo Pond,5/3/21 14:00,1.6
Azevedo Pond,5/3/21 14:15,2.6
Azevedo Pond,5/3/21 14:30,1.8
Azevedo Pond,5/3/21 14:45,1.3
Azevedo Pond,5/3/21 15:00,1.6
Azevedo Pond,5/3/21 15:15,1.1
Azevedo Pond,5/3/21 15:30,1
Azevedo Pond,5/3/21 15:45,1.1
Azevedo Pond,5/3/21 16:00,1.3
Azevedo Pond,5/3/21 16:15,0.4
Azevedo Pond,5/3/21 16:30,2.4
Azevedo Pond,5/3/21 16:45,2
Azevedo Pond,5/3/21 17:00,1.8
Azevedo Pond,5/3/21 17:15,3.1
Azevedo Pond,5/3/21 17:30,2.5
Azevedo Pond,5/3/21 17:45,4.3
Azevedo Pond,5/3/21 18:00,2.5
Azevedo Pond,5/3/21 18:15,0.7
Azevedo Pond,5/3/21 18:30,0.8
Azevedo Pond,5/3/21 18:45,0.8
Azevedo Pond,5/3/21 19:00,0.2
Azevedo Pond,5/3/21 19:15,0.2
Azevedo Pond,5/3/21 19:30,0
Azevedo Pond,5/3/21 19:45,0
