Site,TimeStamp,DO_mgL
Vierra Mouth,5/3/21 15:45,9.7
Vierra Mouth,5/3/21 16:00,9.7
Vierra Mouth,5/3/21 16:15,9.8
Vierra Mouth,5/3/21 16:30,9.7
Vierra Mouth,5/3/21 16:45,9.8
Vierra Mouth,5/3/21 17:00,9.7
Vierra Mouth,5/3/21 17:15,9.8
Vierra Mouth,5/3/21 17:30,9.9
Vierra Mouth,5/3/21 17:45,9.6
Vierra Mouth,5/3/21 18:00,9.7
Vierra Mouth,5/3/21 18:15,9.5
Vierra Mouth,5/3/21 18:30,9.6
Vierra Mouth,5/3/21 18:45,10
Vierra Mouth,5/3/21 19:00,10.2
Vierra Mouth,5/3/21 19:15,10.3
Vierra Mouth,5/3/21 19:30,10.1
Vierra Mouth,5/3/21 19:45,9.8
Vierra Mouth,5/3/21 20:00,9.8
Vierra Mouth,5/3/21 20:15,9.6
Vierra Mouth,5/3/21 20:30,9.6
Vierra Mouth,5/3/21 20:45,9.4
Vierra Mouth,5/3/21 21:00,9.4
Vierra Mouth,5/3/21 21:15,9.3
Vierra Mouth,5/3/21 21:30,9.3
Vierra Mouth,5/3/21 21:45,9.1
Vierra Mouth,5/3/21 22:00,9.1
Vierra Mouth,5/3/21 22:15,9
Vierra Mouth,5/3/21 22:30,8.8
Vierra Mouth,5/3/21 22:45,8.7
Vierra Mouth,5/3/21 23:00,8.7
Vierra Mouth,5/3/21 23:15,8.8
Vierra Mouth,5/3/21 23:30,8.4
Vierra Mouth,5/3/21 23:45,8.3
Vierra Mouth,5/4/21 0:00,8.4
Vierra Mouth,5/4/21 0:15,8.3
Vierra Mouth,5/4/21 0:30,8.1
Vierra Mouth,5/4/21 0:45,7.8
Vierra Mouth,5/4/21 1:00,7.7
Vierra Mouth,5/4/21 1:15,8.2
Vierra Mouth,5/4/21 1:30,8.4
Vierra Mouth,5/4/21 1:45,8.5
Vierra Mouth,5/4/21 2:00,8.4
Vierra Mouth,5/4/21 2:15,8.4
Vierra Mouth,5/4/21 2:30,8.4
Vierra Mouth,5/4/21 2:45,8.4
Vierra Mouth,5/4/21 3:00,8.6
Vierra Mouth,5/4/21 3:15,8.7
Vierra Mouth,5/4/21 3:30,8.4
Vierra Mouth,5/4/21 3:45,8.5
Vierra Mouth,5/4/21 4:00,8.5
Vierra Mouth,5/4/21 4:15,8.9
Vierra Mouth,5/4/21 4:30,8.8
Vierra Mouth,5/4/21 4:45,8.4
Vierra Mouth,5/4/21 5:00,8.4
Vierra Mouth,5/4/21 5:15,8.3
Vierra Mouth,5/4/21 5:30,8.1
Vierra Mouth,5/4/21 5:45,8.1
Vierra Mouth,5/4/21 6:00,8.3
Vierra Mouth,5/4/21 6:15,8.3
Vierra Mouth,5/4/21 6:30,8.4
Vierra Mouth,5/4/21 6:45,8.6
Vierra Mouth,5/4/21 7:00,8.7
Vierra Mouth,5/4/21 7:15,8.7
Vierra Mouth,5/4/21 7:30,8.7
Vierra Mouth,5/4/21 7:45,8.7
Vierra Mouth,5/4/21 8:00,8.8
Vierra Mouth,5/4/21 8:15,8.8
Vierra Mouth,5/4/21 8:30,8.8
Vierra Mouth,5/4/21 8:45,8.9
