Site,TimeStamp,DO_mgL
North Marsh,5/5/21 5:15,5.6
North Marsh,5/5/21 5:30,5.6
North Marsh,5/5/21 5:45,5.6
North Marsh,5/5/21 6:00,5.7
North Marsh,5/5/21 6:15,5.6
North Marsh,5/5/21 6:30,5.7
North Marsh,5/5/21 6:45,5.7
North Marsh,5/5/21 7:00,5.7
North Marsh,5/5/21 7:15,5.8
North Marsh,5/5/21 7:30,5.9
North Marsh,5/5/21 7:45,6.1
North Marsh,5/5/21 8:00,6.3
North Marsh,5/5/21 8:15,6.3
North Marsh,5/5/21 8:30,6.5
North Marsh,5/5/21 8:45,6.4
North Marsh,5/5/21 9:00,6.4
North Marsh,5/5/21 9:15,6.6
North Marsh,5/5/21 9:30,6.2
North Marsh,5/5/21 9:45,6
North Marsh,5/5/21 10:00,5.6
North Marsh,5/5/21 10:15,5.7
North Marsh,5/5/21 10:30,5.9
North Marsh,5/5/21 10:45,6.5
North Marsh,5/5/21 11:00,7.2
North Marsh,5/5/21 11:15,7.9
North Marsh,5/5/21 11:30,7.8
North Marsh,5/5/21 11:45,8.9
North Marsh,5/5/21 12:00,9
North Marsh,5/5/21 12:15,9.3
North Marsh,5/5/21 12:30,9.6
North Marsh,5/5/21 12:45,9.4
North Marsh,5/5/21 13:00,10.1
North Marsh,5/5/21 13:15,10.4
North Marsh,5/5/21 13:30,10.5
North Marsh,5/5/21 13:45,9.8
North Marsh,5/5/21 14:00,10.3
North Marsh,5/5/21 14:15,10.7
North Marsh,5/5/21 14:30,9.4
North Marsh,5/5/21 14:45,10.3
North Marsh,5/5/21 15:00,10.8
North Marsh,5/5/21 15:15,10.9
North Marsh,5/5/21 15:30,9.8
North Marsh,5/5/21 15:45,11.7
North Marsh,5/5/21 16:00,11.4
North Marsh,5/5/21 16:15,10
North Marsh,5/5/21 16:30,10.9
North Marsh,5/5/21 16:45,10.5
North Marsh,5/5/21 17:00,10.1
North Marsh,5/5/21 17:15,9.3
North Marsh,5/5/21 17:30,9.6
North Marsh,5/5/21 17:45,9.1
North Marsh,5/5/21 18:00,8.9
North Marsh,5/5/21 18:15,8.9
North Marsh,5/5/21 18:30,9.1
North Marsh,5/5/21 18:45,9.1
North Marsh,5/5/21 19:00,8.7
North Marsh,5/5/21 19:15,8.3
North Marsh,5/5/21 19:30,8.9
North Marsh,5/5/21 19:45,8.5
North Marsh,5/5/21 20:00,8.5
North Marsh,5/5/21 20:15,8.6
North Marsh,5/5/21 20:30,8.1
North Marsh,5/5/21 20:45,8.5
North Marsh,5/5/21 21:00,7.9
North Marsh,5/5/21 21:15,8
North Marsh,5/5/21 21:30,7.5
North Marsh,5/5/21 21:45,7.1
North Marsh,5/5/21 22:00,6.9
North Marsh,5/5/21 22:15,6.8
North Marsh,5/5/21 22:30,6.6
North Marsh,5/5/21 22:45,6
North Marsh,5/5/21 23:00,6.5
North Marsh,5/5/21 23:15,6.3
North Marsh,5/5/21 23:30,5.9
North Marsh,5/5/21 23:45,5.2
North Marsh,5/6/21 0:00,4.2
North Marsh,5/6/21 0:15,2.8
North Marsh,5/6/21 0:30,2.1
North Marsh,5/6/21 0:45,2.4
North Marsh,5/6/21 1:00,2.6
North Marsh,5/6/21 1:15,2.6
North Marsh,5/6/21 1:30,2.8
North Marsh,5/6/21 1:45,2.5
North Marsh,5/6/21 2:00,2.2
North Marsh,5/6/21 2:15,2.2
North Marsh,5/6/21 2:30,2.2
North Marsh,5/6/21 2:45,2.7
North Marsh,5/6/21 3:00,3.2
North Marsh,5/6/21 3:15,2.4
North Marsh,5/6/21 3:30,1.4
